Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
00211,20041101,20220706,200,50.58,8.4685,Aßlar Klein-Altenstädten,Hessen
00213,20070501,20220706,170,51.9375,10.9897,Sargstedt,Sachsen-Anhalt
00216,20041001,20220706,298,51.1143,7.8807,Attendorn-Neulisternohl,Nordrhein-Westfalen
00217,20050101,20220706,670,47.8774,11.3643,Attenkam,Bayern
00222,19950901,20220706,393,50.5908,12.7139,Aue,Sachsen
00227,20041001,20220706,432,49.8823,11.2656,Aufseß-Hochstahl,Bayern
00232,19961107,20220706,462,48.4253,10.9417,Augsburg,Bayern
00240,20040901,20220706,293,50.1805,9.5743,Aura im Sinngrund,Bayern
00246,20060101,20080812,73,51.7015,12.8909,Axien,Sachsen-Anhalt
00257,20021101,20220706,240,48.727,8.2457,Baden-Baden-Geroldsau,Baden-Württemberg
00259,20040701,20220706,275,47.8064,7.6387,Müllheim,Baden-Württemberg
00269,20060524,20220706,599,48.5116,8.3176,Baiersbronn-Mitteltal,Baden-Württemberg
00275,20041001,20220706,1039,47.465,10.1043,Balderschwang,Bayern
00279,20061101,20220706,457,48.7574,9.4514,Baltmannsweiler-Hohengehren,Baden-Württemberg
00282,19950901,20220706,240,49.8743,10.9206,Bamberg,Bayern
00287,20080501,20220706,53,51.961,11.9159,Walternienburg-Ronney,Sachsen-Anhalt
00292,20051201,20220706,37,52.6965,8.487,Barnstorf,Niedersachsen
00294,20040701,20220706,110,52.3199,9.43,Barsinghausen-Hohenbostel,Niedersachsen
00298,19950901,20220706,3,54.3405,12.7108,Barth,Mecklenburg-Vorpommern
00301,20150901,20220706,659,48.7584,9.9855,Bartholomä,Baden-Württemberg
00303,19950901,20220703,54,52.0613,13.4997,Baruth,Brandenburg
00310,20041101,20220706,590,51.0662,8.5375,Battenberg-Hof Karlsburg,Hessen
00312,20070601,20220706,51,53.8149,11.8818,Baumgarten,Mecklenburg-Vorpommern
00314,20040501,20220706,234,51.1604,14.5042,"Kubschütz, Kr. Bautzen",Sachsen
00316,20041101,20220706,310,49.6957,7.8387,Bayerfeld-Steckweiler -Schmalfelderhof,Rheinland-Pfalz
00320,20060701,20220706,350,49.9666,11.5198,Heinersreuth-Vollhof,Bayern
00323,20040315,20220706,425,49.1626,10.5918,Bechhofen/Mittelfranken -Voggendorf,Bayern
00326,20040701,20130708,120,51.7204,8.0577,Beckum-Unterberg,Nordrhein-Westfalen
00330,20040801,20220706,455,49.5617,8.9673,Oberzent-Beerfelden,Hessen
00336,20040901,20220706,290,51.0221,10.5148,Hörselberg-Hainich-Behringen,Thüringen
00342,20101201,20220706,103,52.317,8.1694,Belm,Niedersachsen
00348,19950901,20110902,127,50.4135,7.5886,Bendorf,Rheinland-Pfalz
00357,20050901,20220706,50,52.3018,7.1301,"Bentheim, Bad",Niedersachsen
00359,20040701,20220706,464,49.1022,11.796,Beratzhausen,Bayern
00360,20040701,20220706,403,49.1115,11.4328,Berching,Bayern
00377,20041001,20220706,210,49.107,7.9967,"Bergzabern, Bad",Rheinland-Pfalz
00378,20050401,20220706,136,51.6843,10.1077,Berka,Niedersachsen
00379,20170901,20220706,304,50.9075,11.2665,"Berka, Bad (Flugplatz)",Thüringen
00384,20050622,20140918,570,48.0409,10.0808,Berkheim,Baden-Württemberg
00389,20091101,20220706,436,51.0148,8.4318,"Berleburg, Bad-Arfeld",Nordrhein-Westfalen
00390,20040701,20220706,610,50.9837,8.3683,"Berleburg, Bad-Stünzel",Nordrhein-Westfalen
00399,19950901,20110801,36,52.5198,13.4057,Berlin-Alexanderplatz,Berlin
00400,20040601,20220706,60,52.631,13.5021,Berlin-Buch,Berlin
00403,20020128,20220706,51,52.4537,13.3017,Berlin-Dahlem (FU),Berlin
00410,20040501,20200616,33,52.404,13.7309,Berlin-Kaniswall,Berlin
00420,20070801,20220706,61,52.5447,13.5598,Berlin-Marzahn,Berlin
00427,19950901,20220706,46,52.3807,13.5306,Berlin Brandenburg,Brandenburg
00430,19950901,20210505,36,52.5644,13.3088,Berlin-Tegel,Berlin
00433,19950901,20220706,48,52.4675,13.4021,Berlin-Tempelhof,Berlin
00443,20040315,20220706,936,47.7388,10.7448,Bernbeuren-Prachtsried,Bayern
00445,20050701,20220706,85,51.8218,11.711,Bernburg/Saale (Nord),Sachsen-Anhalt
00450,20051101,20121204,120,49.9186,7.0664,Bernkastel-Kues,Rheinland-Pfalz
00460,19950901,20220706,363,49.2641,6.6868,Berus,Saarland
00468,20040911,20220706,505,49.7291,6.9175,Beuren (Hochwald),Rheinland-Pfalz
00479,20050201,20220706,138,50.2435,9.2892,Wächtersbach,Hessen
00498,20060724,20220706,760,47.7453,8.3111,Ühlingen-Birkendorf,Baden-Württemberg
00504,20070601,20220706,79,51.7982,13.9716,Lübbenau/Spreewald-Bischdorf,Brandenburg
00505,20040901,20060616,332,51.4268,10.0932,Bischhagen,Thüringen
00522,20050220,20220706,425,48.7092,10.6283,Bissingen (Kläranlage),Bayern
00523,20060301,20180601,359,49.9797,6.5325,Bitburg,Rheinland-Pfalz
00535,20040601,20220706,417,50.0372,7.3079,Blankenrath,Rheinland-Pfalz
00542,20041101,20220706,12,53.2401,10.8522,Bleckede-Walmsburg,Niedersachsen
00550,20021101,20220706,344,50.9041,11.7985,Bobeck,Thüringen
00551,20061101,20220706,517,50.3887,11.9955,Weischlitz-Heinersgrün,Sachsen
00554,19950901,20220706,23,51.8293,6.5365,Bocholt-Liedern (Wasserwerk),Nordrhein-Westfalen
00555,20080101,20181101,101,51.4789,7.2697,Bochum,Nordrhein-Westfalen
00561,20051001,20220706,11,53.367,7.9679,Bockhorn-Grabstede,Niedersachsen
00567,20090901,20220706,258,51.6957,9.5135,Bodenfelde-Amelith,Niedersachsen
00589,20040501,20220706,343,48.8846,12.7453,Bogen-Pfelling,Bayern
00591,19950901,20220706,45,53.3911,10.6878,Boizenburg,Mecklenburg-Vorpommern
00596,19950901,20220706,15,54.0027,11.1908,Boltenhagen,Mecklenburg-Vorpommern
00599,19950901,19990302,62,50.7055,7.1467,Bonn-Friesdorf,Nordrhein-Westfalen
00603,19990303,20220706,147,50.7293,7.204,Königswinter-Heiderhof,Nordrhein-Westfalen
00604,20061009,20220706,875,47.8194,8.3348,Bonndorf/Schwarzwald,Baden-Württemberg
00613,20041101,20220706,206,51.5677,9.2324,Borgentreich,Nordrhein-Westfalen
00617,20040601,20220706,47,51.873,6.8863,Borken in Westfalen,Nordrhein-Westfalen
00622,20060601,20220706,66,52.3745,11.4655,Westheide-Born,Sachsen-Anhalt
00630,20060601,20220706,87,52.0193,11.4059,Bottmersdorf-Klein Germersleben,Sachsen-Anhalt
00633,20040601,20220706,126,51.4041,14.5681,Boxberg,Sachsen
00644,20050101,20220706,150,51.7049,9.1738,Brakel,Nordrhein-Westfalen
00653,20050501,20220706,483,47.7241,12.1092,Brannenburg-Degerndorf,Bayern
00656,19950901,20220706,607,51.7234,10.6021,Braunlage,Niedersachsen
00662,19971022,20220706,81,52.2915,10.4464,Braunschweig,Niedersachsen
00677,20030421,20220706,610,48.1266,10.3649,Breitenbrunn-Fürbuch,Bayern
00684,20050621,20220706,1000,47.9385,8.0761,Breitnau,Baden-Württemberg
00685,19950928,20061102,585,49.9017,9.4281,Breitsol,Bayern
00691,19950901,20220706,4,53.0451,8.7981,Bremen,Bremen
00701,19980610,20220706,7,53.5332,8.5761,Bremerhaven,Bremen
00704,19950901,20220706,11,53.4451,9.139,Bremervörde,Niedersachsen
00714,20050601,20220706,46,52.3653,14.2474,Neu Madlitz,Brandenburg
00721,20040601,20220706,101,51.5171,12.4362,Schönwölkau-Brinnis,Sachsen
00723,20041201,20220706,290,50.1841,7.24,Kail,Rheinland-Pfalz
00730,20040911,20110120,238,49.3864,7.4567,Bruchmühlbach-Miesau/Glan,Rheinland-Pfalz
00731,20071201,20220706,130,49.1127,8.6372,Bruchsal-Heidelsheim,Baden-Württemberg
00732,20040919,20220706,545,49.7985,7.2278,"Bruchweiler, Kr. Birkenfeld",Rheinland-Pfalz
00735,20050501,20220706,52,52.1692,12.7334,Brück-Gömnigk,Brandenburg
00753,20040501,20220706,305,50.87,11.5022,Bucha,Thüringen
00755,20040601,20220706,340,49.5182,9.3213,"Buchen, Kr. Neckar-Odenwald",Baden-Württemberg
00757,20040601,20220706,445,47.9625,7.9983,Buchenbach,Baden-Württemberg
00760,20171201,20220706,82,53.3629,9.9435,Rosengarten-Klecken,Niedersachsen
00775,20041001,20220706,100,52,10.6323,Osterwieck-Rimbeck,Sachsen-Anhalt
00789,20040601,20220706,263,49.6063,9.8834,Bütthard,Bayern
00791,20060101,20220706,8,54.6328,8.937,Bordelum,Schleswig-Holstein
00796,20041101,20220706,412,50.7556,8.1257,Burbach-Würgendorf,Nordrhein-Westfalen
00797,20050801,20220706,39,52.3241,11.8339,Burg-Blumenthal,Sachsen-Anhalt
00801,20021101,20220706,331,49.4549,10.3241,Burgbernheim,Bayern
00807,20070425,20220706,290,49.745,10.6434,Schlüsselfeld (Kläranlage),Bayern
00808,20060301,20220706,413,48.187,12.8098,"Mehring, Kr. Altötting-Niederholz ",Bayern
00812,20041201,20220706,278,50.1429,11.2322,Burgkunstadt,Bayern
00814,20060108,20220706,270,50.1451,10.7066,Pfarrweisach-Lohr (Pegel),Bayern
00815,20061101,20220706,162,51.5426,11.6947,Seegebiet Mansfelder Land-Dederstedt,Sachsen-Anhalt
00817,20050201,20220706,293,51.0306,8.8146,Burgwald-Bottendorf,Hessen
00837,20040701,20220706,244,50.2863,8.2949,"Camberg, Bad",Hessen
00839,20110105,20220706,27,53.7575,10.9288,Carlow,Mecklenburg-Vorpommern
00840,19950901,20220706,895,50.4313,12.6114,Carlsfeld,Sachsen
00848,20080801,20220706,38,52.6146,10.0726,Celle (Stadt),Niedersachsen
00853,19950901,20220706,416,50.7913,12.872,Chemnitz,Sachsen
00856,19950907,20220706,551,47.8843,12.5404,Chieming,Bayern
00857,20050201,20220706,535,47.8665,12.395,Chiemsee-Herrenchiemsee,Bayern
00863,20071001,20120405,585,51.7904,10.347,Clausthal-Zellerfeld,Niedersachsen
00867,19950901,20220706,344,50.3066,10.9679,Lautertal-Oberlauter,Bayern
00871,20050801,20220706,87,51.9618,7.1585,Coesfeld,Nordrhein-Westfalen
00874,20050801,20220706,52,52.2994,11.6733,Zielitz,Sachsen-Anhalt
00880,19950901,20220706,69,51.7759,14.3168,Cottbus,Brandenburg
00885,20050601,20220706,450,49.8449,11.616,Creußen-Bühl,Bayern
00891,20000510,20220706,5,53.8713,8.7058,Cuxhaven,Niedersachsen
00896,20040801,20220706,170,51.0778,10.8619,Dachwig,Thüringen
00902,20061001,20220706,573,50.4115,6.5615,Dahlem-Schmidtheim,Nordrhein-Westfalen
00917,20040901,20220706,162,49.8809,8.6779,Darmstadt,Hessen
00921,20040911,20120731,352,50.045,6.1369,Dasburg/Our,Rheinland-Pfalz
00922,20060110,20220706,460,48.395,11.0594,Dasing (Kläranlage),Bayern
00931,20041019,20220706,712,47.8007,9.4108,Deggenhausertal-Azenweiler,Baden-Württemberg
00933,20030428,20220706,585,48.0368,11.5777,"Deisenhofen, Kreis München",Bayern
00934,20041001,20220706,88,51.7835,8.5658,Delbrück,Nordrhein-Westfalen
00942,20041101,20220706,308,50.122,6.599,Densborn,Rheinland-Pfalz
00953,19971210,20220706,481,49.7619,7.0542,Deuselbach,Rheinland-Pfalz
00961,20040701,20220706,258,51.4743,9.0039,Diemelstadt-Rhoden,Hessen
00962,20040501,20220706,326,50.8018,11.1692,Stadtilm-Dienstedt,Thüringen
00963,19960603,20220706,38,52.5881,8.3424,Diepholz,Niedersachsen
00966,20060201,20220706,65,52.7522,10.8831,Diesdorf,Sachsen-Anhalt
00970,20021101,20220706,405,49.4158,10.6734,Dietenhofen,Bayern
00974,20060901,20220706,440,51.5307,11.0457,Südharz-Dietersdorf,Sachsen-Anhalt
00977,20040901,20121001,377,50.8541,8.3416,Dietzhölztal-Mandeln,Hessen
00978,20050201,20220706,155,50.3574,8.0485,Holzheim bei Diez ,Rheinland-Pfalz
00979,20040901,20220705,314,50.7364,8.2672,Dillenburg,Hessen
00983,20061201,20220706,419,48.5562,10.5599,Dillingen/Donau-Fristingen,Bayern
00985,20060101,20220706,492,49.0504,10.2892,Dinkelsbühl-Oberwinstetten,Bayern
00988,20050901,20220706,23,52.6746,8.114,Dinklage,Niedersachsen
00989,20050201,20220706,46,51.5765,6.7849,Dinslaken,Nordrhein-Westfalen
00991,20050201,20220706,359,50.9116,13.7087,Dippoldiswalde-Reinberg,Sachsen
01001,19950901,20220706,97,51.6451,13.5747,Doberlug-Kirchhain,Brandenburg
01014,20050301,20220706,2,53.2289,7.2191,Dollart-Kanalpolder,Niedersachsen
01018,20061009,20111129,677,47.9422,8.5046,Donaueschingen,Baden-Württemberg
01023,20060103,20220706,430,48.2746,12.1616,Dorfen (Kläranlage),Bayern
01024,20060801,20220706,37,51.1157,6.851,Dormagen-Zons,Nordrhein-Westfalen
01030,20050301,20220706,1,53.646,7.4302,Dornum,Niedersachsen
01039,20041201,20220706,317,51.5263,9.7978,Dransfeld-Ossenfeld,Niedersachsen
01046,20041001,20220706,72,51.7585,7.7528,Drensteinfurt,Nordrhein-Westfalen
01048,19950901,20220706,228,51.1278,13.7543,Dresden-Klotzsche,Sachsen
01050,20060401,20220706,112,51.0221,13.847,Dresden-Hosterwitz,Sachsen
01051,20070301,20220706,119,51.0249,13.7751,Dresden-Strehlen,Sachsen
01052,20040701,20220706,80,52.2174,12.1641,Drewitz bei Burg,Sachsen-Anhalt
01055,20041001,20220706,482,50.6316,8.1813,Driedorf,Hessen
01056,20051201,20220706,2,53.7118,9.3791,Drochtersen,Niedersachsen
01067,20041001,20220706,95,51.9265,12.3852,Düben,Sachsen-Anhalt
01072,20040601,20220706,107,49.4719,8.1929,"Dürkheim, Bad",Rheinland-Pfalz
01078,19950901,20220706,37,51.296,6.7686,Düsseldorf,Nordrhein-Westfalen
01089,20060608,20220706,197,48.5017,7.9943,Durbach-Ebersweier,Baden-Württemberg
